Format,1.0B,
Memory Length,10000,
IntpDistance,0,
Trigger Address,-45001,
Trigger Level,0.000E+00,
Source,CH1,
Vertical Units,V,
Vertical Units Div,0,
Vertical Units Extend Div,16,
Label, ,
Probe Type,0,
Probe Ratio,1.000E+00,
Vertical Scale,1.000E+01,
Vertical Position,8.000E-01,
Horizontal Units,S,
Horizontal Scale,1.000E-04,
Horizontal Position,5.000E-03,
Horizontal Mode,Main,
SincET Mode,Real Time,
Sampling Period,1.000E-07,
Horizontal Old Scale,1.000E-04,
Horizontal Old Position,5.000E-03,
Firmware,V1.24,
Mode,Detail,
Waveform Data,
4.550400e-03,9.60e+00,
4.550500e-03,9.60e+00,
4.550600e-03,9.60e+00,
4.550700e-03,9.60e+00,
4.550800e-03,9.60e+00,
4.550900e-03,9.60e+00,
4.551000e-03,9.60e+00,
4.551100e-03,9.60e+00,
4.551200e-03,9.60e+00,
4.551300e-03,9.60e+00,
4.551400e-03,9.60e+00,
4.551500e-03,9.60e+00,
4.551600e-03,9.60e+00,
4.551700e-03,9.60e+00,
4.551800e-03,9.60e+00,
4.551900e-03,9.60e+00,
4.552000e-03,9.60e+00,
4.552100e-03,9.60e+00,
4.552200e-03,9.60e+00,
4.552300e-03,9.60e+00,
4.552400e-03,9.60e+00,
4.552500e-03,9.60e+00,
4.552600e-03,9.60e+00,
4.552700e-03,9.60e+00,
4.552800e-03,9.60e+00,
4.552900e-03,9.60e+00,
4.553000e-03,9.60e+00,
4.553100e-03,9.60e+00,
4.553200e-03,9.60e+00,
4.553300e-03,9.60e+00,
4.553400e-03,9.60e+00,
4.553500e-03,9.60e+00,
4.553600e-03,9.60e+00,
4.553700e-03,9.60e+00,
4.553800e-03,9.60e+00,
4.553900e-03,9.60e+00,
4.554000e-03,9.60e+00,
4.554100e-03,9.60e+00,
4.554200e-03,9.60e+00,
4.554300e-03,9.60e+00,
4.554400e-03,9.60e+00,
4.554500e-03,9.60e+00,
4.554600e-03,9.60e+00,
4.554700e-03,9.60e+00,
4.554800e-03,9.60e+00,
4.554900e-03,9.60e+00,
4.555000e-03,9.60e+00,
4.555100e-03,9.60e+00,
4.555200e-03,9.60e+00,
4.555300e-03,9.60e+00,
4.555400e-03,9.60e+00,
4.555500e-03,9.60e+00,
4.555600e-03,9.60e+00,
4.555700e-03,9.60e+00,
4.555800e-03,9.60e+00,
4.555900e-03,9.60e+00,
4.556000e-03,9.60e+00,
4.556100e-03,9.60e+00,
4.556200e-03,9.60e+00,
